atom,n,orbital,orbital_index
Nba,4,s,1
Nba,4,p1,2
Nba,4,p2,3
Nba,4,p3,4
Nba,5,s,5
Nba,4,d1,6
Nba,4,d2,7
Nba,4,d3,8
Nba,4,d4,9
Nba,4,d5,10
Nba,5,p1,11
Nba,5,p2,12
Nba,5,p3,13
Nbb,4,s,14
Nbb,4,p1,15
Nbb,4,p2,16
Nbb,4,p3,17
Nbb,5,s,18
Nbb,4,d1,19
Nbb,4,d2,20
Nbb,4,d3,21
Nbb,4,d4,22
Nbb,4,d5,23
Nbb,5,p1,24
Nbb,5,p2,25
Nbb,5,p3,26
Nbc,4,s,27
Nbc,4,p1,28
Nbc,4,p2,29
Nbc,4,p3,30
Nbc,5,s,31
Nbc,4,d1,32
Nbc,4,d2,33
Nbc,4,d3,34
Nbc,4,d4,35
Nbc,4,d5,36
Nbc,5,p1,37
Nbc,5,p2,38
Nbc,5,p3,39
Nbd,4,s,40
Nbd,4,p1,41
Nbd,4,p2,42
Nbd,4,p3,43
Nbd,5,s,44
Nbd,4,d1,45
Nbd,4,d2,46
Nbd,4,d3,47
Nbd,4,d4,48
Nbd,4,d5,49
Nbd,5,p1,50
Nbd,5,p2,51
Nbd,5,p3,52
Nbe,4,s,53
Nbe,4,p1,54
Nbe,4,p2,55
Nbe,4,p3,56
Nbe,5,s,57
Nbe,4,d1,58
Nbe,4,d2,59
Nbe,4,d3,60
Nbe,4,d4,61
Nbe,4,d5,62
Nbe,5,p1,63
Nbe,5,p2,64
Nbe,5,p3,65
Nbf,4,s,66
Nbf,4,p1,67
Nbf,4,p2,68
Nbf,4,p3,69
Nbf,5,s,70
Nbf,4,d1,71
Nbf,4,d2,72
Nbf,4,d3,73
Nbf,4,d4,74
Nbf,4,d5,75
Nbf,5,p1,76
Nbf,5,p2,77
Nbf,5,p3,78
Nbg,4,s,79
Nbg,4,p1,80
Nbg,4,p2,81
Nbg,4,p3,82
Nbg,5,s,83
Nbg,4,d1,84
Nbg,4,d2,85
Nbg,4,d3,86
Nbg,4,d4,87
Nbg,4,d5,88
Nbg,5,p1,89
Nbg,5,p2,90
Nbg,5,p3,91
Nbh,4,s,92
Nbh,4,p1,93
Nbh,4,p2,94
Nbh,4,p3,95
Nbh,5,s,96
Nbh,4,d1,97
Nbh,4,d2,98
Nbh,4,d3,99
Nbh,4,d4,100
Nbh,4,d5,101
Nbh,5,p1,102
Nbh,5,p2,103
Nbh,5,p3,104
Nbi,4,s,105
Nbi,4,p1,106
Nbi,4,p2,107
Nbi,4,p3,108
Nbi,5,s,109
Nbi,4,d1,110
Nbi,4,d2,111
Nbi,4,d3,112
Nbi,4,d4,113
Nbi,4,d5,114
Nbi,5,p1,115
Nbi,5,p2,116
Nbi,5,p3,117
Nbj,4,s,118
Nbj,4,p1,119
Nbj,4,p2,120
Nbj,4,p3,121
Nbj,5,s,122
Nbj,4,d1,123
Nbj,4,d2,124
Nbj,4,d3,125
Nbj,4,d4,126
Nbj,4,d5,127
Nbj,5,p1,128
Nbj,5,p2,129
Nbj,5,p3,130
Sra,4,s,131
Sra,4,p1,132
Sra,4,p2,133
Sra,4,p3,134
Sra,5,s,135
Sra,5,p1,136
Sra,5,p2,137
Sra,5,p3,138
Srb,4,s,139
Srb,4,p1,140
Srb,4,p2,141
Srb,4,p3,142
Srb,5,s,143
Srb,5,p1,144
Srb,5,p2,145
Srb,5,p3,146
Src,4,s,147
Src,4,p1,148
Src,4,p2,149
Src,4,p3,150
Src,5,s,151
Src,5,p1,152
Src,5,p2,153
Src,5,p3,154
Srd,4,s,155
Srd,4,p1,156
Srd,4,p2,157
Srd,4,p3,158
Srd,5,s,159
Srd,5,p1,160
Srd,5,p2,161
Srd,5,p3,162
Sre,4,s,163
Sre,4,p1,164
Sre,4,p2,165
Sre,4,p3,166
Sre,5,s,167
Sre,5,p1,168
Sre,5,p2,169
Sre,5,p3,170
Srf,4,s,171
Srf,4,p1,172
Srf,4,p2,173
Srf,4,p3,174
Srf,5,s,175
Srf,5,p1,176
Srf,5,p2,177
Srf,5,p3,178
Srg,4,s,179
Srg,4,p1,180
Srg,4,p2,181
Srg,4,p3,182
Srg,5,s,183
Srg,5,p1,184
Srg,5,p2,185
Srg,5,p3,186
Srh,4,s,187
Srh,4,p1,188
Srh,4,p2,189
Srh,4,p3,190
Srh,5,s,191
Srh,5,p1,192
Srh,5,p2,193
Srh,5,p3,194
Sri,4,s,195
Sri,4,p1,196
Sri,4,p2,197
Sri,4,p3,198
Sri,5,s,199
Sri,5,p1,200
Sri,5,p2,201
Sri,5,p3,202
Srj,4,s,203
Srj,4,p1,204
Srj,4,p2,205
Srj,4,p3,206
Srj,5,s,207
Srj,5,p1,208
Srj,5,p2,209
Srj,5,p3,210
Oa,2,s,211
Oa,2,p1,212
Oa,2,p2,213
Oa,2,p3,214
Ob,2,s,215
Ob,2,p1,216
Ob,2,p2,217
Ob,2,p3,218
Oc,2,s,219
Oc,2,p1,220
Oc,2,p2,221
Oc,2,p3,222
Od,2,s,223
Od,2,p1,224
Od,2,p2,225
Od,2,p3,226
Oe,2,s,227
Oe,2,p1,228
Oe,2,p2,229
Oe,2,p3,230
Of,2,s,231
Of,2,p1,232
Of,2,p2,233
Of,2,p3,234
Og,2,s,235
Og,2,p1,236
Og,2,p2,237
Og,2,p3,238
Oh,2,s,239
Oh,2,p1,240
Oh,2,p2,241
Oh,2,p3,242
Oi,2,s,243
Oi,2,p1,244
Oi,2,p2,245
Oi,2,p3,246
Oj,2,s,247
Oj,2,p1,248
Oj,2,p2,249
Oj,2,p3,250
Ok,2,s,251
Ok,2,p1,252
Ok,2,p2,253
Ok,2,p3,254
Ol,2,s,255
Ol,2,p1,256
Ol,2,p2,257
Ol,2,p3,258
Om,2,s,259
Om,2,p1,260
Om,2,p2,261
Om,2,p3,262
On,2,s,263
On,2,p1,264
On,2,p2,265
On,2,p3,266
Oo,2,s,267
Oo,2,p1,268
Oo,2,p2,269
Oo,2,p3,270
Op,2,s,271
Op,2,p1,272
Op,2,p2,273
Op,2,p3,274
Oq,2,s,275
Oq,2,p1,276
Oq,2,p2,277
Oq,2,p3,278
Or,2,s,279
Or,2,p1,280
Or,2,p2,281
Or,2,p3,282
Os,2,s,283
Os,2,p1,284
Os,2,p2,285
Os,2,p3,286
Ot,2,s,287
Ot,2,p1,288
Ot,2,p2,289
Ot,2,p3,290
Ou,2,s,291
Ou,2,p1,292
Ou,2,p2,293
Ou,2,p3,294
Ov,2,s,295
Ov,2,p1,296
Ov,2,p2,297
Ov,2,p3,298
Ow,2,s,299
Ow,2,p1,300
Ow,2,p2,301
Ow,2,p3,302
Ox,2,s,303
Ox,2,p1,304
Ox,2,p2,305
Ox,2,p3,306
Oy,2,s,307
Oy,2,p1,308
Oy,2,p2,309
Oy,2,p3,310
Oz,2,s,311
Oz,2,p1,312
Oz,2,p2,313
Oz,2,p3,314
Oaa,2,s,315
Oaa,2,p1,316
Oaa,2,p2,317
Oaa,2,p3,318
Oab,2,s,319
Oab,2,p1,320
Oab,2,p2,321
Oab,2,p3,322
Oac,2,s,323
Oac,2,p1,324
Oac,2,p2,325
Oac,2,p3,326
Oad,2,s,327
Oad,2,p1,328
Oad,2,p2,329
Oad,2,p3,330
Oae,2,s,331
Oae,2,p1,332
Oae,2,p2,333
Oae,2,p3,334
Oaf,2,s,335
Oaf,2,p1,336
Oaf,2,p2,337
Oaf,2,p3,338
Oag,2,s,339
Oag,2,p1,340
Oag,2,p2,341
Oag,2,p3,342
Oah,2,s,343
Oah,2,p1,344
Oah,2,p2,345
Oah,2,p3,346
